date,yearmonth,ma_id,fishbase_id,length_cm,count,lmax
2022-04-25,2022-04-01,44.0,4456.0,13.847010009597243,30,40.0
2022-03-04,2022-03-01,142.0,109.0,24.004392027614056,6,21.75
2022-04-25,2022-04-01,142.0,1002.0,24.484272221738486,124,
2022-05-02,2022-05-01,142.0,4465.0,35.17988884031007,7,59.40000153
2022-05-05,2022-05-01,142.0,10.0,23.473334844694993,20,28.20000076
2022-05-25,2022-05-01,142.0,104.0,51.91066950834232,14,49.5
2022-03-04,2022-03-01,142.0,84.0,22.75784837941835,5,56.79999924
2022-05-29,2022-05-01,142.0,1250.0,31.95540260020588,10,
2022-05-26,2022-05-01,142.0,6.0,74.76101844270667,1,108.5
2022-03-15,2022-03-01,28.0,918.0,16.55720932030928,10,26.70000076
2022-03-06,2022-03-01,74.0,4464.0,32.75809319105011,18,46.0
2022-04-10,2022-04-01,74.0,1863.0,30.169891358819832,71,21.60000038
2022-04-24,2022-04-01,74.0,6366.0,27.292951302850724,30,34.09999847
2022-05-20,2022-05-01,74.0,1863.0,29.064289265537294,40,21.60000038
2022-05-20,2022-05-01,74.0,1406.0,31.385339888171956,12,44.2703702
2022-04-24,2022-04-01,71.0,5843.0,19.597217880453993,35,28.5
2022-05-18,2022-05-01,71.0,5843.0,18.018771422172833,50,28.5
2022-04-21,2022-04-01,61.0,1863.0,25.268812071929833,2,21.60000038
2022-04-25,2022-04-01,19.0,345.0,65.0436229919751,3,
2022-03-16,2022-03-01,67.0,1895.0,67.72110370352947,3,62.71428571
2022-05-26,2022-05-01,67.0,4922.0,51.91445540473025,1,37.79999924
2022-04-10,2022-04-01,67.0,1235.0,43.89407407952913,1,120.0
2022-05-18,2022-05-01,69.0,89.0,77.49511577683234,2,130.0
2022-05-23,2022-05-01,64.0,143.0,103.17209103694863,6,131.0
2022-05-29,2022-05-01,64.0,6465.0,46.64406442899506,1,82.5
2022-05-26,2022-05-01,63.0,5983.0,21.92673759309545,9,21.10000038
2022-05-23,2022-05-01,64.0,143.0,100.3866086038239,5,131.0
2022-03-17,2022-03-01,61.0,184.0,31.66771273797202,8,27.39999962
2022-03-27,2022-03-01,61.0,7625.0,50.774926386565326,2,19.89999962
2022-05-05,2022-05-01,118.0,785.0,39.38067354283002,9,41.5
2022-05-19,2022-05-01,118.0,1845.0,34.87290990890209,9,59.0
2022-04-05,2022-04-01,92.0,1906.0,51.531585711056174,10,69.0
2022-04-19,2022-04-01,92.0,121.0,104.05414178213266,5,104.0
2022-03-19,2022-03-01,22.0,181.0,18.283496623607714,23,41.0
2022-05-27,2022-05-01,67.0,6457.0,24.83946853371988,3,12.60000038
2022-03-18,2022-03-01,69.0,1077.0,37.35357680833911,200,
2022-04-16,2022-04-01,61.0,121.0,94.38984216704989,1,104.0
2022-04-23,2022-04-01,61.0,7625.0,35.74468723213009,7,19.89999962
2022-04-27,2022-04-01,61.0,1863.0,25.490578307771397,13,21.60000038
2022-05-22,2022-05-01,61.0,184.0,25.809657524280524,6,27.39999962
2022-04-20,2022-04-01,62.0,1864.0,58.64788595400792,7,39.00000017
2022-05-21,2022-05-01,142.0,84.0,35.363330103771986,8,56.79999924
2022-03-04,2022-03-01,142.0,84.0,22.75784837941835,50,56.79999924
2022-05-20,2022-05-01,142.0,84.0,24.515894245136188,28,56.79999924
2022-04-19,2022-04-01,142.0,104.0,57.46056289253165,2,49.5
2022-03-03,2022-03-01,142.0,109.0,22.392996186879397,110,21.75
2022-03-11,2022-03-01,142.0,109.0,19.34451375512583,77,21.75
2022-03-15,2022-03-01,142.0,396.0,17.662982665456234,19,19.0
2022-03-17,2022-03-01,142.0,1055.0,26.48639275284542,100,19.5
2022-05-02,2022-05-01,142.0,109.0,23.07588214132727,6,21.75
2022-05-25,2022-05-01,142.0,396.0,16.889984151486573,42,19.0
2022-04-25,2022-04-01,118.0,4698.0,22.00196236191159,6,19.0
